algorithm,mu,mut_prob,mut_std,temp,alpha,repair_pct,assignments,constraints,relation_constraints,resource_constraints,date_constraints,original_penalty,original_makespan,solution_penalty,solution_makespan,lambda_,cxpb,mutpb,mate_indpb,mutate_mu,mutate_sigma,mutate_indpb,mut_indpb,phi1,phi2,smin,smax,weight
ParticleSwarm,200.0,,,,,1.0,269,308,297,11,0,4355.0,237,0.0,298,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,269,308,297,11,0,4355.0,237,0.0,338,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,269,308,297,11,0,4355.0,237,0.0,356,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,269,308,297,11,0,4355.0,237,0.0,816,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,269,308,297,11,0,4355.0,237,195.0,220,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,410,613,607,6,0,9422.0,383,1.0,1656,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,410,613,607,6,0,9422.0,383,17.0,634,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,410,613,607,6,0,9422.0,383,1308.0,365,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,410,613,607,6,0,9422.0,383,46.0,674,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,410,613,607,6,0,9422.0,383,334.0,537,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,183,291,287,4,0,861.0,365,0.0,589,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,183,291,287,4,0,861.0,365,0.0,644,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,183,291,287,4,0,861.0,365,0.0,410,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,183,291,287,4,0,861.0,365,16.0,316,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,183,291,287,4,0,861.0,365,0.0,448,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,404,726,708,18,0,1776.0,488,0.0,658,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,404,726,708,18,0,1776.0,488,242.0,621,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,404,726,708,18,0,1776.0,488,0.0,621,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,404,726,708,18,0,1776.0,488,0.0,1604,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,404,726,708,18,0,1776.0,488,516.0,470,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,429,482,481,1,0,64551.0,444,21875.0,1688,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,429,482,481,1,0,64551.0,444,41107.0,808,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,429,482,481,1,0,64551.0,444,47945.0,723,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,429,482,481,1,0,64551.0,444,53059.0,414,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,429,482,481,1,0,64551.0,444,46527.0,786,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,354,577,561,16,0,1669.0,527,0.0,629,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,354,577,561,16,0,1669.0,527,0.0,1571,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,354,577,561,16,0,1669.0,527,287.0,450,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,354,577,561,16,0,1669.0,527,80.0,628,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,354,577,561,16,0,1669.0,527,0.0,677,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,149,252,244,8,0,374.0,198,0.0,360,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,149,252,244,8,0,374.0,198,0.0,302,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,149,252,244,8,0,374.0,198,0.0,228,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,149,252,244,8,0,374.0,198,0.0,296,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,149,252,244,8,0,374.0,198,0.0,192,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,112,180,169,11,0,0.0,274,0.0,188,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,112,180,169,11,0,0.0,274,0.0,269,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,112,180,169,11,0,0.0,274,0.0,267,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,112,180,169,11,0,0.0,274,0.0,174,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,112,180,169,11,0,0.0,274,0.0,396,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,79,120,118,2,0,183.0,477,0.0,757,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,79,120,118,2,0,183.0,477,0.0,534,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,79,120,118,2,0,183.0,477,0.0,389,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,79,120,118,2,0,183.0,477,0.0,397,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,79,120,118,2,0,183.0,477,0.0,512,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,124,214,209,5,0,90.0,407,0.0,523,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,124,214,209,5,0,90.0,407,0.0,270,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,124,214,209,5,0,90.0,407,0.0,364,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,124,214,209,5,0,90.0,407,0.0,307,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,124,214,209,5,0,90.0,407,0.0,459,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,410,703,692,11,0,1989.0,454,373.0,431,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,410,703,692,11,0,1989.0,454,0.0,697,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,410,703,692,11,0,1989.0,454,0.0,628,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,410,703,692,11,0,1989.0,454,0.0,834,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,410,703,692,11,0,1989.0,454,0.0,596,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
ParticleSwarm,200.0,,,,,1.0,177,192,183,9,0,338.0,328,0.0,302,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,177,192,183,9,0,338.0,328,0.0,253,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,177,192,183,9,0,338.0,328,0.0,568,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,177,192,183,9,0,338.0,328,0.0,350,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,177,192,183,9,0,338.0,328,0.0,362,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,391,697,680,17,0,1107.0,612,0.0,1079,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,391,697,680,17,0,1107.0,612,8.0,763,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,391,697,680,17,0,1107.0,612,413.0,582,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,391,697,680,17,0,1107.0,612,0.0,730,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,391,697,680,17,0,1107.0,612,0.0,696,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,390,556,543,13,0,533.0,369,0.0,508,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,390,556,543,13,0,533.0,369,0.0,532,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,390,556,543,13,0,533.0,369,431.0,333,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,390,556,543,13,0,533.0,369,0.0,726,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,390,556,543,13,0,533.0,369,0.0,427,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,217,343,341,2,0,21845.0,288,9163.0,541,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,217,343,341,2,0,21845.0,288,2969.0,1551,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,217,343,341,2,0,21845.0,288,8670.0,603,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,217,343,341,2,0,21845.0,288,13636.0,352,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,217,343,341,2,0,21845.0,288,9767.0,628,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,282,302,298,4,0,19319.0,241,3201.0,243,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,282,302,298,4,0,19319.0,241,783.0,473,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,282,302,298,4,0,19319.0,241,473.0,404,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,282,302,298,4,0,19319.0,241,162.0,380,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,282,302,298,4,0,19319.0,241,0.0,1173,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,288,392,386,6,0,1278.0,548,125.0,502,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,288,392,386,6,0,1278.0,548,0.0,644,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,288,392,386,6,0,1278.0,548,0.0,668,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,288,392,386,6,0,1278.0,548,0.0,914,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,288,392,386,6,0,1278.0,548,0.0,846,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,238,340,332,8,0,457.0,445,186.0,419,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,238,340,332,8,0,457.0,445,0.0,810,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,238,340,332,8,0,457.0,445,0.0,472,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,238,340,332,8,0,457.0,445,0.0,661,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,238,340,332,8,0,457.0,445,0.0,550,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,411,738,729,9,0,5806.0,510,181.0,1980,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,411,738,729,9,0,5806.0,510,385.0,892,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,411,738,729,9,0,5806.0,510,2353.0,481,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,411,738,729,9,0,5806.0,510,1556.0,701,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,411,738,729,9,0,5806.0,510,4.0,853,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,466,541,526,15,0,10285.0,448,5037.0,420,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,466,541,526,15,0,10285.0,448,3065.0,1605,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,466,541,526,15,0,10285.0,448,3536.0,707,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,466,541,526,15,0,10285.0,448,4021.0,694,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,466,541,526,15,0,10285.0,448,4358.0,694,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,12,25,13,12,0,0.0,55,0.0,8,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,12,25,13,12,0,0.0,55,0.0,136,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,12,25,13,12,0,0.0,55,0.0,11,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,12,25,13,12,0,0.0,55,0.0,8,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,12,25,13,12,0,0.0,55,0.0,67,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,293,335,318,17,0,906.0,630,0.0,570,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,293,335,318,17,0,906.0,630,0.0,695,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,293,335,318,17,0,906.0,630,0.0,850,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,293,335,318,17,0,906.0,630,53.0,567,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,293,335,318,17,0,906.0,630,0.0,650,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,52,84,79,5,0,483.0,167,0.0,134,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,52,84,79,5,0,483.0,167,0.0,139,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,52,84,79,5,0,483.0,167,0.0,114,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,52,84,79,5,0,483.0,167,0.0,230,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,52,84,79,5,0,483.0,167,0.0,379,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,76,122,108,14,0,0.0,265,0.0,328,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,76,122,108,14,0,0.0,265,0.0,203,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,76,122,108,14,0,0.0,265,0.0,239,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,76,122,108,14,0,0.0,265,0.0,440,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,76,122,108,14,0,0.0,265,0.0,226,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,413,607,591,16,0,1079.0,468,0.0,741,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,413,607,591,16,0,1079.0,468,341.0,376,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,413,607,591,16,0,1079.0,468,0.0,538,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,413,607,591,16,0,1079.0,468,2.0,647,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,413,607,591,16,0,1079.0,468,0.0,1016,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,486,722,715,7,0,12512.0,529,1119.0,438,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,486,722,715,7,0,12512.0,529,0.0,781,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,486,722,715,7,0,12512.0,529,0.0,611,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,486,722,715,7,0,12512.0,529,0.0,1453,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,486,722,715,7,0,12512.0,529,6.0,624,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,275,451,440,11,0,168.0,548,16.0,485,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,275,451,440,11,0,168.0,548,0.0,592,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,275,451,440,11,0,168.0,548,0.0,918,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,275,451,440,11,0,168.0,548,0.0,567,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,275,451,440,11,0,168.0,548,0.0,655,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,270,300,287,13,0,1999.0,394,0.0,399,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,270,300,287,13,0,1999.0,394,114.0,290,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,270,300,287,13,0,1999.0,394,0.0,362,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,270,300,287,13,0,1999.0,394,0.0,522,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,270,300,287,13,0,1999.0,394,0.0,767,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,297,510,509,1,0,33377.0,449,8872.0,965,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,297,510,509,1,0,33377.0,449,15910.0,754,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,297,510,509,1,0,33377.0,449,3825.0,1554,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,297,510,509,1,0,33377.0,449,24358.0,532,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,297,510,509,1,0,33377.0,449,16544.0,881,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,490,892,876,16,0,1337.0,385,0.0,637,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,490,892,876,16,0,1337.0,385,0.0,548,10.0,,,,,,,0.5,,,,,
MuPlusLambda,200.0,,,,,0.0,490,892,876,16,0,1337.0,385,967.0,394,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,490,892,876,16,0,1337.0,385,0.0,783,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,490,892,876,16,0,1337.0,385,0.0,518,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,60,100,82,18,0,0.0,333,0.0,313,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,60,100,82,18,0,0.0,333,0.0,506,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,60,100,82,18,0,0.0,333,0.0,124,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,60,100,82,18,0,0.0,333,0.0,161,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,60,100,82,18,0,0.0,333,0.0,211,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,52,94,85,9,0,0.0,242,0.0,163,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,52,94,85,9,0,0.0,242,0.0,168,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,52,94,85,9,0,0.0,242,0.0,264,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,52,94,85,9,0,0.0,242,0.0,396,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,52,94,85,9,0,0.0,242,0.0,122,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,430,506,491,15,0,880.0,494,356.0,417,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,430,506,491,15,0,880.0,494,0.0,863,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,430,506,491,15,0,880.0,494,0.0,593,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,430,506,491,15,0,880.0,494,0.0,606,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,430,506,491,15,0,880.0,494,0.0,535,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,92,135,127,8,0,1652.0,299,263.0,1409,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,92,135,127,8,0,1652.0,299,1438.0,236,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,92,135,127,8,0,1652.0,299,982.0,761,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,92,135,127,8,0,1652.0,299,80.0,1609,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,92,135,127,8,0,1652.0,299,1010.0,1004,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,390,644,626,18,0,42.0,526,0.0,635,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,390,644,626,18,0,42.0,526,0.0,621,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,390,644,626,18,0,42.0,526,0.0,559,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,390,644,626,18,0,42.0,526,0.0,965,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,390,644,626,18,0,42.0,526,223.0,455,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
MuPlusLambda,200.0,,,,,0.0,288,472,466,6,0,4113.0,526,1111.0,479,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,288,472,466,6,0,4113.0,526,1212.0,656,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,288,472,466,6,0,4113.0,526,0.0,819,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,288,472,466,6,0,4113.0,526,218.0,1387,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,288,472,466,6,0,4113.0,526,309.0,880,,,,,,,,,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,331,537,529,8,0,322.0,464,0.0,765,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,331,537,529,8,0,322.0,464,0.0,672,10.0,,,,,,,0.5,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,331,537,529,8,0,322.0,464,0.0,555,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,331,537,529,8,0,322.0,464,105.0,406,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,331,537,529,8,0,322.0,464,0.0,519,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
MuPlusLambda,200.0,,,,,0.0,201,245,232,13,0,277.0,270,42.0,235,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,201,245,232,13,0,277.0,270,0.0,416,,,,,,,,,,,,,
ParticleSwarm,200.0,,,,,1.0,201,245,232,13,0,277.0,270,0.0,292,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
PlantPropagation,200.0,,2.0,,,1.0,201,245,232,13,0,277.0,270,0.0,447,10.0,,,,,,,0.5,,,,,
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,201,245,232,13,0,277.0,270,0.0,667,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,245,401,387,14,0,492.0,396,0.0,540,10.0,,,,,,,0.5,,,,,
ParticleSwarm,200.0,,,,,1.0,245,401,387,14,0,492.0,396,0.0,436,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
SimulatedAnnealing,1.0,0.1,1.0,100.0,0.99,1.0,245,401,387,14,0,492.0,396,0.0,696,,,,,,,,,,,,,
StochasticHillClimb,1.0,0.4,1.0,,,1.0,245,401,387,14,0,492.0,396,0.0,486,,,,,,,,,,,,,
MuPlusLambda,200.0,,,,,0.0,245,401,387,14,0,492.0,396,186.0,329,200.0,0.5,0.5,0.5,0.0,2.0,0.5,,,,,,
ParticleSwarm,200.0,,,,,1.0,380,397,391,6,0,18035.0,210,0.0,317,,,,,,,,,4.0,6.0,-2.0,2.0,1.0
StochasticHillClimb,1.0,0.4,1.0,,,1.0,380,397,391,6,0,18035.0,210,407.0,404,,,,,,,,,,,,,
PlantPropagation,200.0,,2.0,,,1.0,380,397,391,6,0,18035.0,210,0.0,333,10.0,,,,,,,0.5,,,,,
